year,round,date,total_results
2020,1,2020-07-05,20
2020,2,2020-07-12,20
2020,3,2020-07-19,20
2020,4,2020-08-02,20
2020,5,2020-08-09,20
2020,6,2020-08-16,20
2020,7,2020-08-30,20
2020,8,2020-09-06,20
2020,9,2020-09-13,20
2020,10,2020-09-27,20
2020,11,2020-10-11,20
2020,12,2020-10-25,20
2020,13,2020-11-01,20
2020,14,2020-11-15,20
2020,15,2020-11-29,20
2020,16,2020-12-06,20
2020,17,2020-12-13,20
2021,1,2021-03-28,20
2021,2,2021-04-18,20
2021,3,2021-05-02,20
2021,4,2021-05-09,20
2021,5,2021-05-23,20
2021,6,2021-06-06,20
2021,7,2021-06-20,20
2021,8,2021-06-27,20
2021,9,2021-07-04,20
2021,10,2021-07-18,20
2021,11,2021-08-01,20
2021,12,2021-08-29,20
2021,13,2021-09-05,20
2021,14,2021-09-12,20
2021,15,2021-09-26,20
2021,16,2021-10-10,20
2021,17,2021-10-24,20
2021,18,2021-11-07,20
2021,19,2021-11-14,20
2021,20,2021-11-21,20
2021,21,2021-12-05,20
2021,22,2021-12-12,20
2022,1,2022-03-20,20
2022,2,2022-03-27,20
2022,3,2022-04-10,20
2022,4,2022-04-24,20
2022,5,2022-05-08,20
2022,6,2022-05-22,20
2022,7,2022-05-29,20
2022,8,2022-06-12,20
2022,9,2022-06-19,20
2022,10,2022-07-03,20
2022,11,2022-07-10,20
2022,12,2022-07-24,20
2022,13,2022-07-31,20
2022,14,2022-08-28,20
2022,15,2022-09-04,20
2022,16,2022-09-11,20
2022,17,2022-10-02,20
2022,18,2022-10-09,20
2022,19,2022-10-23,20
2022,20,2022-10-30,20
2022,21,2022-11-13,20
2022,22,2022-11-20,20
2023,1,2023-03-05,20
2023,2,2023-03-19,20
2023,3,2023-04-02,20
2023,4,2023-04-30,20
2023,5,2023-05-07,20
2023,6,2023-05-28,20
2023,7,2023-06-04,20
2023,8,2023-06-18,20
2023,9,2023-07-02,20
2023,10,2023-07-09,20
2023,11,2023-07-23,20
2023,12,2023-07-30,20
2023,13,2023-08-27,20
2023,14,2023-09-03,20
2023,15,2023-09-17,20
2023,16,2023-09-24,20
2023,17,2023-10-08,20
2023,18,2023-10-22,20
2023,19,2023-10-29,20
2023,20,2023-11-05,20
2023,21,2023-11-19,20
2023,22,2023-11-26,20
2024,1,2024-03-02,20
2024,2,2024-03-09,20
2024,3,2024-03-24,19
2024,4,2024-04-07,20
2024,5,2024-04-21,20
2024,6,2024-05-05,20
2024,7,2024-05-19,20
2024,8,2024-05-26,20
2024,9,2024-06-09,20
2024,10,2024-06-23,20
2024,11,2024-06-30,20
2024,12,2024-07-07,20
2024,13,2024-07-21,20
2024,14,2024-07-28,20
2024,15,2024-08-25,20
2024,16,2024-09-01,20
2024,17,2024-09-15,20
2024,18,2024-09-22,20
2024,19,2024-10-20,20
2024,20,2024-10-27,20
2024,21,2024-11-03,20
2024,22,2024-11-23,20
2024,23,2024-12-01,20
2024,24,2024-12-08,20
