driverid,driver,avg_delta
107,Roland Ratzenberger,15.00
106,Olivier Beretta,14.33
111,Jean-Marc Gounon,13.00
85,Andrea Montermini,12.50
101,David Brabham,12.17
92,Bertrand Gachot,12.00
66,Allan McNish,12.00
100,Érik Comas,11.57
82,Norberto Fontana,11.00
109,Jyrki Järvilehto,10.67
58,Tarso Marques,10.00
64,Pedro Diniz,9.53
113,Philippe Adams,9.00
114,Yannick Dalmas,9.00
98,Jean-Denis Délétraz,9.00
34,Yuji Ide,9.00
116,Franck Lagorce,9.00
73,Ricardo Rosset,8.75
75,Shinji Nakano,8.44
89,Taki Inoue,8.40
