year,dnfs
1950,143
1951,150
1952,184
1953,213
1954,193
1955,148
1956,160
1957,136
1958,184
1959,153
1960,181
1961,169
1962,184
1963,226
1964,178
1965,165
1966,145
1967,171
1968,197
1969,139
1970,240
1971,205
1972,244
1973,276
1974,351
1975,277
1976,336
1977,385
1978,370
1979,331
1980,319
1981,368
1982,405
1983,353
1984,374
1985,347
1986,360
1987,364
1988,422
1989,555
1990,454
1991,454
1992,410
1993,354
1994,381
1995,351
1996,252
1997,246
1998,262
1999,237
2000,267
2001,275
2002,268
2003,214
2004,222
2005,228
2006,251
2007,227
2008,174
2009,126
2010,244
2011,283
2012,207
2013,174
2014,207
2015,207
2016,260
2017,235
2018,229
2019,224
2020,149
2021,223
2022,161
2023,136
2024,192
