driverid,driver,avg_fastest_lap_speed
42,Antônio Pizzonia,224.317
851,Jack Aitken,222.240
48,Marc Gené,219.423
41,Ricardo Zonta,219.073
856,Nyck de Vries,213.479
857,Oscar Piastri,213.356
862,Jack Doohan,213.323
846,Lando Norris,212.096
69,Luca Badoer,211.786
844,Charles Leclerc,211.786
31,Juan Pablo Montoya,211.377
859,Liam Lawson,211.026
847,George Russell,211.012
848,Alexander Albon,210.946
858,Logan Sargeant,210.598
860,Oliver Bearman,210.341
38,Robert Doornbos,210.052
840,Lance Stroll,210.024
842,Pierre Gasly,209.772
830,Max Verstappen,209.667
